id,team_id,name,position,jersey_number,goals,assists
1,1,Player 1,GK,1,0,0
2,1,Player 2,GK,2,0,0
3,1,Player 3,GK,3,0,0
4,1,Player 4,DEF,4,0,0
5,1,Player 5,DEF,5,0,0
6,1,Player 6,DEF,6,0,0
7,1,Player 7,DEF,7,0,0
8,1,Player 8,DEF,8,0,0
9,1,Player 9,DEF,9,0,0
10,1,Player 10,DEF,10,0,0
11,1,Player 11,DEF,11,0,0
12,1,Player 12,MID,12,0,0
13,1,Player 13,MID,13,0,0
14,1,Player 14,MID,14,0,0
15,1,Player 15,MID,15,0,0
16,1,Player 16,MID,16,0,0
17,1,Player 17,MID,17,0,0
18,1,Player 18,MID,18,0,0
19,1,Player 19,FWD,19,0,0
20,1,Player 20,FWD,20,0,0
21,1,Player 21,FWD,21,0,0
22,1,Player 22,FWD,22,0,0
23,1,Player 23,FWD,23,0,0
24,2,Player 1,GK,1,0,0
25,2,Player 2,GK,2,0,0
26,2,Player 3,GK,3,0,0
27,2,Player 4,DEF,4,0,0
28,2,Player 5,DEF,5,0,0
29,2,Player 6,DEF,6,0,0
30,2,Player 7,DEF,7,0,0
31,2,Player 8,DEF,8,0,0
32,2,Player 9,DEF,9,0,0
33,2,Player 10,DEF,10,0,0
34,2,Player 11,DEF,11,0,0
35,2,Player 12,MID,12,0,0
36,2,Player 13,MID,13,0,0
37,2,Player 14,MID,14,0,0
38,2,Player 15,MID,15,0,0
39,2,Player 16,MID,16,0,0
40,2,Player 17,MID,17,0,0
41,2,Player 18,MID,18,0,0
42,2,Player 19,FWD,19,0,0
43,2,Player 20,FWD,20,0,0
44,2,Player 21,FWD,21,0,0
45,2,Player 22,FWD,22,0,0
46,2,Player 23,FWD,23,0,0
47,3,Player 1,GK,1,0,0
48,3,Player 2,GK,2,0,0
49,3,Player 3,GK,3,0,0
50,3,Player 4,DEF,4,0,0
51,3,Player 5,DEF,5,0,0
52,3,Player 6,DEF,6,0,0
53,3,Player 7,DEF,7,0,0
54,3,Player 8,DEF,8,0,0
55,3,Player 9,DEF,9,0,0
56,3,Player 10,DEF,10,0,0
57,3,Player 11,DEF,11,0,0
58,3,Player 12,MID,12,0,0
59,3,Player 13,MID,13,0,0
60,3,Player 14,MID,14,0,0
61,3,Player 15,MID,15,0,0
62,3,Player 16,MID,16,0,0
63,3,Player 17,MID,17,0,0
64,3,Player 18,MID,18,0,0
65,3,Player 19,FWD,19,0,0
66,3,Player 20,FWD,20,0,0
67,3,Player 21,FWD,21,0,0
68,3,Player 22,FWD,22,0,0
69,3,Player 23,FWD,23,0,0
70,4,Player 1,GK,1,0,0
71,4,Player 2,GK,2,0,0
72,4,Player 3,GK,3,0,0
73,4,Player 4,DEF,4,0,0
74,4,Player 5,DEF,5,0,0
75,4,Player 6,DEF,6,0,0
76,4,Player 7,DEF,7,0,0
77,4,Player 8,DEF,8,0,0
78,4,Player 9,DEF,9,0,0
79,4,Player 10,DEF,10,0,0
80,4,Player 11,DEF,11,0,0
81,4,Player 12,MID,12,0,0
82,4,Player 13,MID,13,0,0
83,4,Player 14,MID,14,0,0
84,4,Player 15,MID,15,0,0
85,4,Player 16,MID,16,0,0
86,4,Player 17,MID,17,0,0
87,4,Player 18,MID,18,0,0
88,4,Player 19,FWD,19,0,0
89,4,Player 20,FWD,20,0,0
90,4,Player 21,FWD,21,0,0
91,4,Player 22,FWD,22,0,0
92,4,Player 23,FWD,23,0,0
93,5,Jordan Pickford,GK,1,0,0
94,5,Nick Pope,GK,23,0,0
